id,name,image,infopic,role,picture_file_name,picture_content_type,picture_file_size,picture_updated_at,created_at,updated_at
63,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/anillo-20151104_155541_02.jpg,Fondo Decorado,fotosJoyas,,,,,2017-03-30 17:12:16.269433,2017-03-30 17:12:16.269433
64,Anillos,https://bitacoradelmotoneto.files.wordpress.com/2017/03/dsc_7257_02.jpg,Fondo Florido,fotosJoyas,,,,,2017-03-30 17:12:43.143195,2017-03-30 17:12:43.143195
66,Anillos,https://bitacoradelmotoneto.files.wordpress.com/2017/03/dsc_9065anillo.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:13:51.662352,2017-03-30 17:13:51.662352
67,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_20170225_233353.jpg,Anillo sobre madera,fotosJoyas,,,,,2017-03-30 17:14:16.550952,2017-03-30 17:14:16.550952
68,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_20170225_235425.jpg,Fondo desordenado,fotosJoyas,,,,,2017-03-30 17:14:42.896271,2017-03-30 17:14:42.896271
71,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_20170225_234801.jpg,Fondo florido,fotosJoyas,,,,,2017-03-30 17:16:02.959468,2017-03-30 17:16:02.959468
72,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu_20170307_164753.jpg,Juego sombras,fotosJoyas,,,,,2017-03-30 17:16:26.597456,2017-03-30 17:16:26.597456
73,Hebilla,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu_20170312_163101.jpg,Fondo textura,fotosJoyas,,,,,2017-03-30 17:17:15.109008,2017-03-30 17:17:15.109008
74,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu_20170312_163933.jpg,Fondo Blanco,fotosJoyas,,,,,2017-03-30 17:17:40.262048,2017-03-30 17:17:40.262048
75,Anillo,https://bitacoradelmotoneto.files.wordpress.com/2017/03/joyas_manu-20160807_210934.jpg,Fondo florido,fotosJoyas,,,,,2017-03-30 17:18:02.154836,2017-03-30 17:18:02.154836
